,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
142,PHYSICS131,0.8673469387755102,0.9230769230769231,0.7857142857142857,0.6538461538461539,98,26,0.8947368421052632,1.0,0.9444444444444444
143,CHEMENG185B,0.9493670886075949,1.0,0.9493670886075949,1.0,79,22,1.0,1.0,1.0
144,CHEM175,0.8288288288288288,0.8571428571428571,0.7657657657657657,0.7142857142857143,111,21,0.875,0.9333333333333333,0.9032258064516129
145,CHEM176,0.7894736842105263,0.8181818181818182,0.7894736842105263,0.8181818181818182,57,11,0.8181818181818182,1.0,0.9
146,MATH53,0.7233748271092669,0.7142857142857143,0.7012448132780082,0.7142857142857143,723,154,0.851063829787234,0.7272727272727273,0.7843137254901961
147,PHYSICS121,0.6470588235294118,0.32432432432432434,0.6078431372549019,0.6216216216216216,102,37,0.3333333333333333,0.08695652173913043,0.13793103448275862
148,ME115B,0.8341463414634146,0.9130434782608695,0.8341463414634146,0.9130434782608695,205,69,0.9130434782608695,1.0,0.9545454545454545
149,PHIL151,0.6181818181818182,0.6388888888888888,0.6181818181818182,0.6388888888888888,110,36,0.6388888888888888,1.0,0.7796610169491525
150,MATH131P,0.6548672566371682,0.6,0.5663716814159292,0.8,113,15,0.8,0.6666666666666666,0.7272727272727272
151,AA279A,0.9166666666666666,0.4444444444444444,0.9166666666666666,0.4444444444444444,12,9,0.4444444444444444,1.0,0.6153846153846153
152,CHEM33,0.655387355298308,0.6075949367088608,0.5093499554764025,0.39556962025316456,1123,316,0.5025380710659898,0.792,0.6149068322981367
153,MCS100,0.9298245614035088,1.0,0.9298245614035088,1.0,57,3,1.0,1.0,1.0
154,ECON143,0.9178082191780822,0.967741935483871,0.9178082191780822,0.967741935483871,73,62,0.967741935483871,1.0,0.9836065573770492
155,EE133,0.9285714285714286,1.0,0.9285714285714286,1.0,28,8,1.0,1.0,1.0
156,BIOE42,0.7815126050420168,0.6666666666666666,0.6386554621848739,0.5454545454545454,119,33,0.6842105263157895,0.7222222222222222,0.7027027027027027
157,CEE166B,0.6666666666666666,0.8,0.6666666666666666,0.8,15,5,0.8,1.0,0.888888888888889
158,PHYSICS65,0.75,0.6666666666666666,0.7019230769230769,0.5185185185185185,104,27,0.6086956521739131,1.0,0.7567567567567568
