,CEE181,CEE182,CEE180,CS106B,MATH51,ECON102B,PSYCH1,CS107,CS109,CS145,MATH53,MATH52,CS106A,ME115A,PHYSICS130,PHYSICS120,PHYSICS121,MATH131P,MATH173,MATH41,MATH151,MATH115,STATS116,CHEMENG120A,CHEMENG110,CHEMENG120B,CME100,PHYSICS41,PHYSICS112,ECON52,MS&E145,MS&E245A,MS&E245G,CS147,ECON51,CME104,CME106,ECON50,CS108,CHEM31A,CHEM171,CHEM33,CHEM35,CHEM131,CHEM135,ENGR15,EE102A,EE102B,ME70,ENGR30,CHEM173,CS106X,CS103,ECON102A,MATH21,MATH42,MATH20,EE108,LINGUIST1,EE101A,CME102,CS161,PHYSICS170,CHEM151,BIO41,BIO42,CHEM31X,MATH51M,CME192,MS&E120,MS&E111,BIOE41,MATH19,ECON1,ENGR14,CEE101A,CHEMENG100,MATH104,EE42,EE222,MS&E125,CS110,PHIL80,MS&E220,CS224N,CS229,CS124,CS221,HUMBIO3B,CS148,BIO43,EE114,EE214A,ENGR40M,ENGR40,CHEM181,MATH171,PHYSICS43,EE178,EE261,ME80,ME203,ME101,PHYSICS131,PHYSICS41A,ENGR105,MATH113,CS248,CS157,PHIL150,CS224S,LINGUIST180,LINGUIST130A,LINGUIST130B,ME131A,PHIL151,STATS200,EE122A,BIO101,HUMBIO2A,EE263,EE101B,MATH51H,PSYCH60,PSYCH146,PHYSICS110,MATH120,MATH147,MATH143,MATH148,MATH121,MATH146,ME161,ME112,ENERGY101,ENERGY102,STATS141,STATS110,STATS60,PHYSICS105,PHYSICS70,PHYSICS63,PHYSICS61,MATH52H,LINGUIST120,ME216B,ME216A,MATH220,STATS195,PHYSICS230,CS140,CS142,ME115B,PHYSICS65,CHEMENG181,MATH205A,MATH109,CS131,CEE166A,PHYSICS107,ENGR154,ENGR20,CHEMENG20,PHYSICS45,EE65,CS193A,CS193P,CS210A
MATH52,,,,,0.419897315893274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044772173442724904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH108,,,,,0.007343842759318671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E211,,,,,-0.007315140564692925,,,,,,,,,,,,,,,,,,,,,,-0.005904321640679469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOE42,,,,,0.04529798909464109,,,,,,,,0.0418212034833174,,,,,,,0.0036251649379374913,,,,,,,0.03991900264654684,0.06736639402822404,,,,,,,,,0.06447871883219018,,,0.024103096095854343,,,,,,,,,,,,,,,,0.01898692625437936,,,,,,,,,,,0.042973243219780195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E226,,,,,0.021662164882530456,,,,,,,,,,,,,,,,,,-0.0010358146775321512,,,,-0.0007569332393388252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010481210989221706,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
MS&E220,,,,,0.02529602057011319,,,,,,,,,,,,,,,,,,,,,,-0.003550189758614929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYSICS61,,,,,0.002540298926673513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME106,,,,,0.07647776532513019,,,,,,,0.032780844745415885,,,,,,,,,,,,,,,0.19168988089467143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021937516041675947,,,,,,,
PHYSICS63,,,,,0.018300698073980434,,,,,,,-0.013166971914213862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08390158446656892,,,,,,,,,,,,,,,,,,,,,,,,,
PUBLPOL105,,,,,,0.03724825703199577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON112,,,,,,0.027358131775005668,,,,,,,,,,,,,,,,,,,,,,,,0.031953226820019075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON102C,,,,,,0.02672301328534911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON144,,,,,,0.006482610502519135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005982995493691995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON145,,,,,,0.02894418591608557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034134948145971386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBLPOL104,,,,,,0.04908327595672903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061522982190936285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
