,CHEM33,CHEM31X,CHEM171,ECON102A,ECON50,MATH51,ECON102B,MS&E120,CME100,MS&E111,EE102A,EE102B,BIO41,CHEM35,MATH42,MATH21,MATH41,MATH20,MATH19,MATH52,ENGR154,BIO43,BIO101,HUMBIO2A,MATH120,MATH109,PHYSICS41,CHEM31A,CME106,ME131A,ENGR30,ME70,ECON52,BIO42,CME102,ENGR15,PHIL80,CS106A,ME203,ME115B,ME115A,EE42,PSYCH1,CS148,CHEM151,CHEM173,CS147,CS106B,CS142,MATH171,MATH115,HUMBIO3B,CS161,PHIL151,PHIL150,ME112,ME80,ME101,PHYSICS121,CHEMENG100,PHYSICS63,PHYSICS61,MATH53,PHYSICS130,PHYSICS170,CS221,CS124,ENGR105,MATH113,EE114,EE214A,ENERGY101,ENERGY102,CS110,ECON51,LINGUIST1,CS224N,CS229,CS107,PHYSICS41A,CS140,STATS110,STATS141,STATS60,CME104,PHYSICS43,CS108,CEE180,EE101B,MATH104,CS103,CS210A,LINGUIST120,CS109,CS106X,CS145,ENGR40M,CHEM131,CHEM135,CEE101A,ENGR14,BIOE41,CHEM181,PHYSICS131,MS&E145,MS&E245A,MS&E245G,PHYSICS120,MATH173,MATH131P,ENGR40,EE122A,PHYSICS110,EE101A,EE222,EE263,CHEMENG181,PHYSICS65,PHYSICS70,PHYSICS112,STATS116,MATH52H,CHEMENG120A,CHEMENG120B,ME161,ECON1,CEE166A,CS248,CS193A,CS193P,PHYSICS105,MATH205A,LINGUIST180,CS224S,LINGUIST130A,LINGUIST130B,CS157,PHYSICS45,EE65,MS&E125,CHEMENG110,MATH121,MATH143,MATH146,MATH147,MATH148,CS131,MATH51H,ME216B,ME216A,ENGR20,CHEMENG20,CEE182,CEE181,PHYSICS107,EE178,EE261,MS&E220,PSYCH60,PSYCH146,EE108,PHYSICS230,STATS200
CME108,,,,,,0.4361024047769232,,,,,,,,,,,,,,0.09724033885113299,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.10114426312742082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGR62,,,,,,0.9601276674546537,,,2.3977153229620938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E211,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH104,,,,,,1.106832224931335,,,,,,,,,,,,,,0.19020633957419678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7602653786564995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E120,,,,,,1.8457329140932175,,,1.362378745884769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E220,,,,,,1.8281177326453053,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS109,,,,,,1.5336103676705575,,,1.089763345846034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6783461046276192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7445545743497746,,,,1.9102423872200864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH107,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH52,,,,,,1.7859960079612056,,,,,,,,,-0.986332953595874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH53,,,,,,1.7759634623622629,,,,,,,,,-0.618724250124291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
