,CEE182,CEE181,CEE180,ECON102B,MATH51,MATH52,MATH53,CS106A,CS106B,PSYCH1,CS107,CS109,CS145,ME115A,MATH151,STATS116,MATH115,PHYSICS130,PHYSICS120,PHYSICS121,MATH173,MATH131P,MATH41,CHEMENG120A,CHEMENG110,CHEMENG120B,ECON51,MS&E145,MS&E245A,MS&E245G,ECON52,CS147,PHYSICS112,CME104,CME106,PHYSICS41,CME100,ECON50,CHEM171,CHEM135,CHEM33,CHEM131,CHEM35,EE102A,EE102B,CHEM31A,CS108,CHEM173,ME70,ENGR30,ENGR15,ECON102A,LINGUIST1,CS103,MATH21,MATH42,MATH20,EE108,EE101A,BIO42,BIO41,CME102,PHYSICS170,CHEM151,CS161,CHEM31X,MATH51M,CME192,BIOE41,MS&E120,MS&E111,MATH19,ECON1,ENGR14,CEE101A,CS106X,EE42,CHEMENG100,EE222,MATH104,MS&E125,CS110,PHIL80,MS&E220,CS224N,CS229,CS124,CS221,HUMBIO3B,CS148,MATH171,BIO43,EE114,EE214A,CHEM181,EE261,EE178,ENGR40M,ENGR40,PHYSICS43,PHYSICS131,ENGR105,MATH113,ME80,ME203,ME101,CS248,CS157,PHIL150,LINGUIST180,CS224S,LINGUIST130A,LINGUIST130B,PHIL151,PHYSICS41A,STATS200,ME131A,EE122A,BIO101,HUMBIO2A,EE263,EE101B,MATH51H,PHYSICS110,PSYCH60,PSYCH146,MATH120,MATH147,MATH143,MATH148,MATH121,MATH146,ME161,ENERGY102,ENERGY101,ME112,STATS141,STATS110,STATS60,PHYSICS105,PHYSICS70,MATH52H,PHYSICS63,PHYSICS61,ME216B,ME216A,LINGUIST120,MATH220,STATS195,PHYSICS230,ME115B,CS140,CS142,CHEMENG181,PHYSICS65,MATH205A,MATH109,CS131,CEE166A,PHYSICS107,ENGR154,ENGR20,CHEMENG20,PHYSICS45,EE65,CS193A,CS193P,CS210A
MATH53,,,,,1.765349335267879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6738212874193908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE103,,,,,1.7039967185992428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4001791988122296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E120,,,,,1.7054463883341098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.306355757063682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS109,,,,,1.5263575303759729,,,,0.6838310421036499,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0880504669059903,,,,,,,,,,,,,,,,,0.7545777519995456,,,,,,,,,,,,,,,,,,,,,,1.8578105423747928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOE41,,,,,0.902108575779845,,,,,,,,,,,,,,,,,,0.05737244046143093,,,,,,,,,,,,0.0,1.5390436293049967,0.5997312905679641,,,,,,,,,0.8574559260696111,,,,,,,,,,0.6629168845325435,,,,,,,,,,1.1100107738391896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH115,,,,,0.9189172677800956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH52,,,,,1.776835849317144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9809139877788675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH108,,,,,0.09293979875153496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E211,,,,,-0.17019191580623455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2766941637266694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOE42,,,,,1.4489625843324734,,,0.1499755984431346,,,,,,,,,,,,,,,0.06840163509106036,,,,,,,,,,,,1.2655005184682457,0.6238273264429887,0.5572386431953461,,,,,,,,,0.44337814001384684,,,,,,,,,,1.0110378568471625,,,,,,,,,,0.9748885556943218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
