,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
46,STATS217,0.5238095238095238,0.7857142857142857,0.5238095238095238,0.7857142857142857,21,14,0.7857142857142857,1.0,0.88
47,ECON143,0.9178082191780822,0.967741935483871,0.9178082191780822,0.967741935483871,73,62,0.967741935483871,1.0,0.9836065573770492
48,CS261,0.7352941176470589,1.0,0.7352941176470589,1.0,34,6,1.0,1.0,1.0
49,CEE166B,0.6666666666666666,0.8,0.6666666666666666,0.8,15,5,0.8,1.0,0.888888888888889
50,CHEM185,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,27,12,0.8333333333333334,1.0,0.9090909090909091
51,CEE101A,0.5405405405405406,0.8,0.5405405405405406,0.8,37,10,0.8,1.0,0.888888888888889
52,CS194H,0.8688524590163934,0.9444444444444444,0.8688524590163934,0.9444444444444444,61,18,0.9444444444444444,1.0,0.9714285714285714
53,EE376A,0.65,0.9642857142857143,0.65,0.9642857142857143,20,28,0.9642857142857143,1.0,0.9818181818181818
54,CHEM132,0.9423076923076923,0.8095238095238095,0.9423076923076923,0.8095238095238095,52,21,0.8095238095238095,1.0,0.8947368421052632
55,CS227B,0.850828729281768,0.9642857142857143,0.850828729281768,0.9642857142857143,181,28,0.9642857142857143,1.0,0.9818181818181818
56,EE142,0.7,0.6666666666666666,0.7,0.6666666666666666,40,12,0.6666666666666666,1.0,0.8
57,MATH210B,0.9,1.0,0.9,1.0,10,12,1.0,1.0,1.0
58,CS210A,0.9748427672955975,0.9298245614035088,0.9748427672955975,0.9298245614035088,159,57,0.9298245614035088,1.0,0.9636363636363636
59,BIOMEDIN210,0.6666666666666666,1.0,0.6666666666666666,1.0,6,2,1.0,1.0,1.0
60,ECON178,0.9849246231155779,0.7340425531914894,0.9849246231155779,0.7340425531914894,199,94,0.7340425531914894,1.0,0.8466257668711656
61,CS245,0.58,0.7333333333333333,0.58,0.7333333333333333,50,15,0.7333333333333333,1.0,0.846153846153846
62,PHYSICS63,0.7398373983739838,0.7837837837837838,0.7398373983739838,0.7837837837837838,123,37,0.7837837837837838,1.0,0.8787878787878788
63,CS193P,0.6363636363636364,0.5,0.36363636363636365,0.5,66,4,0.0,0.0,0.0
64,CS168,0.6324786324786325,0.828125,0.6324786324786325,0.828125,117,64,0.828125,1.0,0.905982905982906
65,CME104A,0.7272727272727273,0.6,0.7272727272727273,0.6,22,5,0.6,1.0,0.7499999999999999
66,CHEM134,0.828125,0.8095238095238095,0.828125,0.8095238095238095,64,21,0.8095238095238095,1.0,0.8947368421052632
67,EE223,0.8947368421052632,1.0,0.8947368421052632,1.0,19,2,1.0,1.0,1.0
68,CHEM175,0.7657657657657657,0.7142857142857143,0.7657657657657657,0.7142857142857143,111,21,0.7142857142857143,1.0,0.8333333333333333
69,PHYSICS130,0.7083333333333334,0.6551724137931034,0.7083333333333334,0.6551724137931034,120,29,0.6551724137931034,1.0,0.7916666666666666
70,PHIL181,0.92,0.6,0.92,0.6,50,10,0.6,1.0,0.7499999999999999
71,CME102A,0.736,0.6086956521739131,0.736,0.6086956521739131,125,23,0.6086956521739131,1.0,0.7567567567567568
72,ME318,0.8529411764705882,1.0,0.8529411764705882,1.0,68,5,1.0,1.0,1.0
73,PHIL184,0.8970588235294118,0.74,0.8970588235294118,0.74,68,50,0.74,1.0,0.8505747126436781
74,LINGUIST130A,0.7890625,0.8571428571428571,0.7890625,0.8571428571428571,128,49,0.8571428571428571,1.0,0.923076923076923
