,CHEM171,CHEM181,PSYCH1,CHEM173,EE263,ECON52,ECON102B,ME203,ME115B,ME115A,CME102,MATH53,CEE166A,ECON50,ECON1,ENGR15,CS106A,CS147,CS106B,CS142,CS103,EE102A,MATH51,PHYSICS41,CHEM35,CHEM131,CHEM135,CHEM33,EE102B,BIO43,BIO101,HUMBIO2A,MATH120,CME100,MATH220,STATS116,STATS195,CS161,MATH171,MATH115,CS107,MATH52,MS&E125,MS&E120,CHEM31X,CHEM31A,ENGR40,PHYSICS65,MATH131P,PHYSICS120,MATH173,PHYSICS70,PHYSICS121,CHEMENG181,MATH113,CS148,ECON102A,EE101B,BIO42,BIO41,PHYSICS63,PHYSICS43,CS248,EE108,ENGR154,CHEMENG100,PHYSICS61,ME112,ME80,ME101,EE101A,MATH121,MATH143,MATH146,MATH147,MATH148,ENGR105,PHYSICS130,MATH52H,MATH51M,CME192,CS229,CS131,CME104,PHIL80,CS124,CS221,CS224N,MS&E111,MATH42,MATH21,LINGUIST1,ECON51,PHYSICS105,PHYSICS107,CME106,MATH41,CHEM151,CEE182,CEE181,CEE180,PHYSICS110,EE122A,CS106X,PHIL151,HUMBIO3B,CS110,CS108,PSYCH60,MATH104,ME216B,ME216A,STATS60,CS109,STATS110,STATS141,ME131A,ENGR30,ME70,CS193A,CS193P,CS145,EE114,EE214A,ENGR14,LINGUIST120,MATH20,CHEMENG120A,ENGR40M,CS140,MATH19,CEE101A,EE178,EE261,MATH151,CHEMENG110,CHEMENG120B,ENERGY101,ENERGY102,PHIL150,PHYSICS112,PHYSICS170,ENGR20,CHEMENG20,MS&E220,PSYCH146,STATS200,PHYSICS45,EE65,EE42,MATH51H,ME161,MS&E145,MS&E245A,MS&E245G,PHYSICS41A
BIOE101,,,,,,,,,,,0.6186123195054464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0069418347509411,0.8308930189277132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME102A,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG120A,,,,,,,,,,,1.2276225090206345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3217887080149002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYSICS43,,,,,,,,,,,1.929741220728678,,,,,,,,,,,,,2.0721627686952195,,,,,,,,,,,,,,,,,,1.6332434542922505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE101B,,,,,,,,,,,0.0,,,,,,,,,,,2.2778094323080085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8075814074230518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE102A,,,,,,,,,,,1.2927748309240232,1.4338534291839289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOE103,,,,,,,,,,,1.2095209368992237,,,,,,,,,,,,,0.70124624523014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39723690991751925,0.48327717645050894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMENG100,,,,,,,,,,,1.440320300337307,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.410181541236502,0.32929224730706025,,,,,,,,,,,,
CME104A,,,,,,,,,,,0.28764999420815834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYSICS65,,,,,,,,,,,,0.2515037282784861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.616435676333001,,,,,,0.9653174488905555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
