,PHIL150,CS107,CS161,MATH205A,MATH171,EE102A,STATS116,STATS60,STATS110,CS106A,BIOE41,ECON51,ECON102A,EE222,CHEM31X,CHEM33,CHEM171,PHIL151,MATH131P,MATH52,MATH53,MATH173,PHYSICS43,CHEMENG181,CS193A,CS147,CS193P,PHIL80,CEE166A,MATH51,EE101B,CHEM135,CHEM131,CHEM35,CHEM173,CS106X,CS106B,MATH51H,MATH115,EE108,MATH147,MATH148,MATH143,MATH120,MATH146,MATH121,ENGR105,CME100,ENGR154,ECON102B,ENGR15,CS221,CS124,CS110,EE101A,ME131A,ENGR30,ME70,CME104,CME106,CME102,EE42,MS&E125,MS&E120,ENGR40M,ENGR40,ECON50,PHYSICS63,LINGUIST180,CS224N,CS157,CS224S,LINGUIST130A,LINGUIST130B,MS&E220,PSYCH1,LINGUIST1,MS&E245A,MS&E145,MS&E245G,CHEM181,ECON52,PHYSICS65,PHYSICS120,PHYSICS70,ME161,EE263,ME203,ME115B,ME115A,EE261,EE178,CEE181,CEE182,CEE180,CHEMENG100,HUMBIO3B,CS142,PSYCH60,PSYCH146,ME112,ME80,ME101,CS109,CS145,CHEMENG120A,CHEMENG120B,PHYSICS130,PHYSICS121,CHEM151,EE102B,ME216A,PHYSICS110,MATH42,MATH41,CHEM31A,PHYSICS41,CS103,PHYSICS105,CS248,CS210A,ENGR14,CHEMENG110,PHYSICS107,MATH19,MATH21,MATH20,MS&E111,ENERGY102,ENERGY101,CS229,PHYSICS61,ECON1,BIO42,BIO41,LINGUIST120,PHYSICS112,STATS141,MATH109,MATH113,ME216B,BIO43,BIO101,HUMBIO2A,CS148,STATS200,CEE101A,MATH104,PHYSICS170,ENGR20,CHEMENG20,PHYSICS45,EE65,CS140,CS131,PHYSICS131,PHYSICS230,EE114,EE214A,MATH52H,EE122A,CS108,PHYSICS41A
EE169,,,,,,12.306348378468883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.229603529570428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS100,,,,,,,11.487080682115291,8.868611104245026,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON126,,,,,,,17.104648446310886,,,,,0.42680527875007096,1.5663276123373706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8527678760097451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATS200,,,,,,,0.1483204558516194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATS217,,,,,,,0.7621023940347621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS161,,,,,,,1.2495592662072077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2199387680188334,,,,,,,,,,,,,,1.1884878527955631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMM106,,,,,,,,1.4015619299125512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATS191,,,,,,,,-1.931521666191418,-16.64729164219247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49737671321495,,,,,,,,,,,,,,,,,,,,,,,,,
CS102,,,,,,,,,,1.942015222118541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS106X,,,,,,,,,,-1.1798017995025871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPKYOTO40M,,,,,,,,,,-0.2113064716128418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E125,,,,,,,,,,0.6337018961769134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2448209125685497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOE42,,,,,,,,,,0.01972186218536741,,,,,1.5703470530498533,,,,,,,,,,,,,,,2.4588726826561853,,,,,,,,,,,,,,,,,,0.7926801957336591,,,,,,,,,,,,1.8577203757249527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.458766151990353,0.8042125013188046,0.6998973496852176,0.6514495718918986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPBER40M,,,,,,,,,,1.0987000713319213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS279,,,,,,,,,,1.8051818396200296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME108,,,,,,,,,,0.04105761150395063,,,,,,,,,,0.30925170264418017,0.14482400745490145,,,,,,,,,0.5385367505365496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGR40M,,,,,,,,,,0.2279647877130461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS103,,,,,,,,,,-0.12819803902048088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS106B,,,,,,,,,,0.61769777341304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOE123,,,,,,,,,,,17.580504177913056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON140,,,,,,,,,,,,0.9887424034143588,0.461994392505295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON141,,,,,,,,,,,,2.7025605672492654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37500787502099453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON178,,,,,,,,,,,,0.41191952924834385,1.1303992480635134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON136,,,,,,,,,,,,1.1107336545756545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON144,,,,,,,,,,,,13.24177688676216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.575973409275997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON145,,,,,,,,,,,,14.49238685886659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.708883448277929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
