,ECON102B,CHEM33,CHEM31X,CHEM171,MS&E120,CME100,MATH51,MS&E111,ECON102A,ECON50,EE102A,EE102B,MATH52,ENGR154,BIO41,CHEM35,MATH42,MATH21,MATH41,MATH20,MATH19,BIO43,BIO101,HUMBIO2A,MATH120,MATH109,PHYSICS41,CHEM31A,CME106,ECON52,BIO42,CME102,ME131A,ENGR30,ME70,ENGR15,PHIL80,CS106A,PSYCH1,CS148,EE42,ME203,ME115B,ME115A,CS147,CS106B,CS142,CHEM151,CHEM173,MATH171,MATH115,HUMBIO3B,CS161,PHIL151,PHIL150,PHYSICS121,CHEMENG100,ME112,ME80,ME101,ENGR105,MATH113,PHYSICS130,PHYSICS170,PHYSICS63,PHYSICS61,MATH53,CS221,CS124,EE114,EE214A,ENERGY101,ENERGY102,CS110,ECON51,LINGUIST1,CS224N,CS229,CS107,CS140,PHYSICS41A,CS108,STATS110,STATS141,STATS60,CME104,PHYSICS43,EE101B,CEE180,MATH104,CS103,CS210A,LINGUIST120,CS109,CS106X,ENGR40M,CS145,CEE101A,ENGR14,CHEM131,CHEM135,BIOE41,CHEM181,PHYSICS131,MS&E145,MS&E245A,MS&E245G,ENGR40,EE122A,PHYSICS120,MATH173,MATH131P,EE101A,PHYSICS110,EE222,EE263,CHEMENG181,PHYSICS65,PHYSICS70,STATS116,PHYSICS112,MATH52H,ME161,CHEMENG120A,CHEMENG120B,ECON1,CEE166A,CS248,PHYSICS105,CS193A,CS193P,LINGUIST180,CS224S,LINGUIST130A,LINGUIST130B,CS157,MATH205A,MS&E125,PHYSICS45,EE65,CHEMENG110,MATH121,MATH143,MATH146,MATH147,MATH148,MATH51H,CS131,ME216B,ME216A,ENGR20,CHEMENG20,CEE182,CEE181,EE178,EE261,PHYSICS107,MS&E220,PSYCH60,PSYCH146,EE108,PHYSICS230,STATS200
CHEMENG110,,,,2.8899458477149658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM185,,,,1.8718018864312187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM151,,,,0.11337820043262078,,,,,,,,,,,,1.642979918751534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEM175,,,,2.2119808159763323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6058768149606768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E145,,,,,1.5493470477995144,1.2468369689224181,0.9335999322337803,0.16340870677758224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E121,,,,,1.0039849295231178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1853310893158915,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E125,,,,,1.1713169186960746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5702327125959057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME106,,,,,,1.5035287330226783,1.3906489776244857,,,,,,0.5297670250691652,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGR62,,,,,,2.397758214986072,0.9601705951957499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS&E211,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
