,course_name,train_score,test_score,train_groundtruth,test_groundtruth,train_size,test_size,precision,recall,f1_score
93,HUMBIO151R,0.9310344827586207,1.0,0.9310344827586207,1.0,29,15,1.0,1.0,1.0
94,PUBLPOL303D,1.0,1.0,0.75,1.0,4,1,1.0,1.0,1.0
95,ENERGY191,1.0,1.0,0.4666666666666667,1.0,15,1,1.0,1.0,1.0
96,MATH52,0.8252730109204368,0.8040540540540541,0.6833073322932918,0.7905405405405406,641,148,0.8548387096774194,0.905982905982906,0.8796680497925311
97,CEE172,0.95,0.75,0.95,0.75,20,4,0.75,1.0,0.8571428571428571
98,EE101A,0.8811881188118812,0.7272727272727273,0.6287128712871287,0.6363636363636364,202,44,0.8076923076923077,0.75,0.7777777777777779
99,EE223,1.0,1.0,0.8947368421052632,1.0,19,2,1.0,1.0,1.0
100,GEOPHYS120,0.9166666666666666,0.3333333333333333,0.75,0.3333333333333333,12,3,0.3333333333333333,1.0,0.5
101,CS227B,0.8950276243093923,0.9285714285714286,0.850828729281768,0.9642857142857143,181,28,0.9629629629629629,0.9629629629629629,0.9629629629629629
102,CS224N,0.8264840182648402,0.7876712328767124,0.634703196347032,0.8904109589041096,219,146,0.9159663865546218,0.8384615384615385,0.8755020080321284
103,BIOE141B,0.9888888888888889,1.0,0.9888888888888889,1.0,90,33,1.0,1.0,1.0
104,EE376A,1.0,0.75,0.65,0.9642857142857143,20,28,0.9545454545454546,0.7777777777777778,0.8571428571428572
105,HUMBIO142,0.9375,0.875,0.875,0.875,16,24,0.875,1.0,0.9333333333333333
106,PHYSICS160,0.95,1.0,0.95,1.0,20,3,1.0,1.0,1.0
107,CS210A,0.9811320754716981,0.9298245614035088,0.9748427672955975,0.9298245614035088,159,57,0.9298245614035088,1.0,0.9636363636363636
108,EE153,1.0,0.6,0.41935483870967744,0.4,31,5,0.5,0.5,0.5
109,EE116,0.9736842105263158,0.5714285714285714,0.6578947368421053,0.8571428571428571,38,7,0.8,0.6666666666666666,0.7272727272727272
110,CHEM137,1.0,1.0,0.8571428571428571,1.0,7,3,1.0,1.0,1.0
111,CS168,0.9487179487179487,0.78125,0.6324786324786325,0.828125,117,64,0.9148936170212766,0.8113207547169812,0.8600000000000001
112,BIO144,0.9736842105263158,0.5,0.8421052631578947,0.5714285714285714,38,14,0.5384615384615384,0.875,0.6666666666666667
113,STATS200,0.8791208791208791,0.6,0.5347985347985348,0.75,273,40,0.7916666666666666,0.6333333333333333,0.7037037037037038
114,CS142,0.8261562998405104,0.7368421052631579,0.6762360446570973,0.6015037593984962,627,133,0.7419354838709677,0.8625,0.7976878612716763
115,MATH114,0.9210526315789473,0.6666666666666666,0.8421052631578947,0.6666666666666666,38,3,0.6666666666666666,1.0,0.8
116,PHIL187,0.9523809523809523,0.7777777777777778,0.6666666666666666,0.6666666666666666,42,18,0.75,1.0,0.8571428571428571
117,LINGUIST130A,0.8671875,0.8163265306122449,0.7890625,0.8571428571428571,128,49,0.851063829787234,0.9523809523809523,0.898876404494382
118,ME227,1.0,0.8181818181818182,0.6060606060606061,0.6363636363636364,33,11,0.7777777777777778,1.0,0.8750000000000001
119,CS247,0.8599033816425121,0.7536231884057971,0.8164251207729468,0.7971014492753623,207,69,0.8166666666666667,0.8909090909090909,0.8521739130434782
120,PHYSICS113,1.0,0.5416666666666666,0.6511627906976745,0.625,43,24,0.625,0.6666666666666666,0.6451612903225806
121,BIOE103,0.9069767441860465,0.6666666666666666,0.686046511627907,0.7575757575757576,86,33,0.9375,0.6,0.7317073170731707
122,ENERGY102,0.8709677419354839,0.6666666666666666,0.6129032258064516,0.7333333333333333,31,15,0.7142857142857143,0.9090909090909091,0.8
